"PSY 3300","Lifespan Development","PSY 1300","Psychology"
"PSY 3312","Adolescent Psychology","PSY 1300","Psychology"
"PSY 3313","Psychology of Adulthood and Aging","PSY 1300","Psychology"
"PSY 3315","Abnormal Psychology","PSY 1300","Psychology"
"PSY 3316.","Personality Psychology","PSY 1300","Psychology"
"PSY 3321","Sensation and Perception","PSY 1300","Psychology"
"PSY 3331","Social Psychology","PSY 1300","Psychology"
"PSY 3341","Cognitive Processes","PSY 1300","Psychology"
"PSY 4342","Learning and Memory","PSY 1300","Psychology"
